avy_db
Avalanche ID (new),Source Type,Avalanche Date,Month,Day,Year,Trigger,Trigger - Detail,Location,Loc
5,StormData,9-Apr-88,4,9,1988,Natural,Natural,Southeast of Anchorage,Anchorage
18,StormData,8-Nov-92,11,8,1992,Natural,Natural,Anchorage,Anchorage
20,ADN,10-Jan-93,1,10,1993,Human,Human,Anchorage (Flatttop),Anchorage
42,StormData,26-Mar-99,3,26,1999,no data,no data,Anchorage to Grandview aong railroad,Anchorage
66,ADN,11-Nov-00,11,11,2000,Human,Human (Hiker and dog triggered),Anchorage (Flattop),Anchorage
93,ADN,31-Dec-02,12,31,2002,Natural,"Natural - snow, perhaps atmospheric river",Flattop Mountain,Anchorage
109,ADN,8-Feb-06,2,8,2006,Human,human (snowboarder),Flattop Mountain,Anchorage
133,ADN,29-Jan-11,1,29,2011,no data,no data - unknown,mountains south of anchorage,Anchorage
16,StormData,16-Dec-91,12,16,1991,Natural,Natural,Anchorage to Seward,Anchorage
135,NAD,18-Apr-11,4,18,2011,no data,no data,"Bird Ridge, Chugach State Park",Bird Point
47,StormData,16-Apr-99,4,16,1999,no data,no data,12 miles south of Cantwell,Cantwell
85,ADN,23-Dec-01,12,23,2001,Human,Human - snowmachiner,"Cantwell (AK Range, SW of Cantwell) - 20w of Marker 185",Cantwell
86,ADN,24-Dec-01,12,24,2001,no data,no data,"Cantwell, AK",Cantwell
103,ADN,3-Dec-04,12,3,2004,no data,no data - likely natural,"Cantwell, AK",Cantwell
156,StormData,14-Mar-15,3,14,2015,Human,Human - AF - Foot penetration,"Cantwell, AK MP 191",Cantwell
62,StormData,9-Mar-00,3,9,2000,no data,no data,Chignik,Chignik Lagoon
171,NAD,28-Jan-17,1,28,2017,Human,Human - AM - Snowmobile,"Near Cooper Landing, Kenai Peninsula",Cooper Landing
46,ADN,15-Apr-99,4,15,1999,no data,no data - likely winter storm,"Cordova, AK",Cordova
56,StormData,26-Jan-00,1,26,2000,no data,no data - likely heavey snow,"Cordova, AK",Cordova
82,ADN,12-Dec-01,12,12,2001,Natural,Natural - high winds and new snow,"Cordova, AK",Cordova
121,ADN,8-Mar-08,3,8,2008,no data,no data - unknown - but during high risk time,"Cordova, AK",Cordova
141,ADN,17-Apr-12,4,17,2012,no data,no data,"Cordova, AK",Cordova
89,ADN,28-Mar-02,3,28,2002,Human,human - skieers,Eagle River,Eagle River
90,ADN,31-Mar-02,3,31,2002,no data,no data,Eagle River,Eagle River
127,ADN,13-Feb-10,2,13,2010,Human,Human - AS - Skier,Eagle River - Hiland Road,Eagle River
72,StormData,18-Jan-01,1,18,2001,no data,no data,Old Glenn Highway MP 7.4,Eagle River
74,StormData,23-Jan-01,1,23,2001,no data,no data,Old Glenn Highway MP 7.4,Eagle River
13,ADN,3-Jun-90,6,3,1990,no data,no data,Anchorage (Eklutna Lake),Eklutna
59,ADN,1-Feb-00,2,1,2000,Natural,Natural,Eklutna Lake,Eklutna
1,ADN,8-Feb-86,2,8,1986,Natural,Natural - Winter Storm,Girdwood (Near),Girdwood
3,ADN,23-Feb-88,2,23,1988,no data,no data,"Girdwood (Seward Highway, Mile 91)",Girdwood
